,RBQ,RQ,PI,BI,ABQ,ID,ED,AQ,EI,OOQ,OQ,BO,LEAD_TIME
0,0,4,12,16,0,4,4,4,12,4,11,0,2
1,0,4,12,16,0,9,5,9,7,15,12,0,0
2,0,16,7,23,0,8,5,8,15,11,7,0,2
3,0,11,15,26,0,10,6,10,16,7,10,0,4
4,0,0,16,16,0,10,7,10,6,17,7,0,4
5,0,7,6,13,0,8,7,8,5,17,0,0,4
6,0,0,5,5,0,8,7,5,-3,17,12,3,0
7,0,12,-3,12,3,5,6,5,4,17,12,0,2
8,0,5,4,9,0,9,6,9,0,19,7,0,4
9,5,7,0,12,0,1,4,1,11,19,5,0,1
10,0,5,11,16,0,14,6,14,2,12,9,0,1
11,9,5,2,16,0,9,6,9,7,16,12,0,0
12,0,21,7,28,0,5,5,5,23,7,7,0,0
13,5,7,23,35,0,16,7,16,19,0,11,0,1
14,0,0,19,19,0,19,10,19,0,11,9,0,1
15,0,11,0,11,0,2,8,2,9,9,6,0,0
16,0,15,9,24,0,9,8,9,15,0,16,0,1
17,0,0,15,15,0,6,7,6,9,16,13,0,1
18,0,16,9,25,0,15,9,15,10,13,13,0,2
19,0,13,10,23,0,6,8,6,17,13,0,0,1
20,0,0,17,17,0,14,9,14,3,13,5,0,1
21,0,8,3,11,0,7,8,7,4,5,1,0,1
22,5,5,4,14,0,10,8,10,4,1,13,0,4
23,0,1,4,5,0,2,6,2,3,13,9,0,2
24,0,0,3,3,0,9,6,3,-6,22,15,6,2
25,0,0,-6,0,0,10,7,0,-16,37,14,16,1
26,0,9,-16,9,9,4,6,0,-11,42,8,11,4
27,1,39,-11,40,11,6,6,6,23,8,2,0,3
28,0,0,23,23,0,15,8,15,8,10,10,0,4
29,0,0,8,8,0,9,8,8,-1,20,4,1,1
30,0,0,-1,0,0,4,7,0,-5,24,9,5,4
31,2,13,-5,15,5,0,5,0,10,19,8,0,0
32,0,8,10,18,0,5,5,5,13,19,6,0,3
33,0,10,13,23,0,16,7,16,7,15,9,0,3
34,0,0,7,7,0,10,7,7,-3,24,7,3,4
