,RBQ,RQ,PI,BI,ABQ,ID,ED,AQ,EI,OOQ,OQ,BO,LEAD_TIME
0,0,4,12,16,0,4,4,4,12,4,5,0,2
1,0,4,12,16,0,11,5,11,5,9,10,0,0
2,0,14,5,19,0,12,6,12,7,5,21,0,2
3,0,5,7,12,0,7,6,7,5,21,3,0,4
4,0,0,5,5,0,10,7,5,-5,24,5,5,4
5,0,21,-5,21,5,7,7,7,9,8,12,0,4
6,0,0,9,9,0,0,5,0,9,20,5,0,0
7,0,5,9,14,0,12,6,12,2,20,6,0,2
8,0,3,2,5,0,12,7,5,-7,23,6,7,4
9,0,5,-7,5,5,7,7,0,-9,24,5,9,1
10,0,18,-9,18,9,5,6,5,4,11,13,0,1
11,0,5,4,9,0,9,6,9,0,19,6,0,0
12,0,19,0,19,0,12,7,12,7,6,9,0,0
13,0,15,7,22,0,7,7,7,15,0,14,0,1
14,0,0,15,15,0,11,8,11,4,14,20,0,1
15,0,14,4,18,0,9,8,9,9,20,7,0,0
16,0,27,9,36,0,6,7,6,30,0,1,0,1
17,0,0,30,30,0,16,9,16,14,1,6,0,1
18,0,1,14,15,0,13,10,13,2,6,14,0,2
19,0,6,2,8,0,13,10,8,-5,14,15,5,1
20,0,0,-5,0,0,0,7,0,-5,29,6,5,1
21,0,29,-5,29,5,5,6,5,19,6,12,0,1
22,0,6,19,25,0,1,4,1,24,12,9,0,4
23,0,12,24,36,0,13,6,13,23,9,13,0,2
24,0,0,23,23,0,9,6,9,14,22,4,0,2
25,0,0,14,14,0,15,8,14,-1,26,12,1,1
26,0,13,-1,13,1,14,9,12,-2,25,5,2,4
27,0,25,-2,25,2,8,8,8,15,5,2,0,3
28,0,0,15,15,0,2,6,2,13,7,8,0,4
29,0,0,13,13,0,10,7,10,3,15,6,0,1
30,0,0,3,3,0,4,6,3,-1,21,5,1,4
31,0,13,-1,13,1,9,6,9,3,13,10,0,0
32,0,10,3,13,0,8,6,8,5,13,3,0,3
33,0,8,5,13,0,6,6,6,7,8,11,0,3
34,0,0,7,7,0,9,6,7,-2,19,10,2,4
