,RBQ,RQ,PI,BI,ABQ,ID,ED,AQ,EI,OOQ,OQ,BO,LEAD_TIME
0,0,4,12,16,0,4,4,4,12,4,14,0,2
1,0,4,12,16,0,11,5,11,5,18,4,0,2
2,0,4,5,9,0,14,7,9,-5,18,10,5,2
3,0,14,-5,14,5,10,7,9,-1,14,13,1,2
4,0,4,-1,4,1,5,6,3,-2,23,5,2,2
5,0,10,-2,10,2,10,7,8,-2,18,3,2,2
6,0,10,-2,10,2,10,7,8,-2,8,13,2,2
7,2,0,-2,2,2,10,7,0,-10,16,10,10,2
8,6,3,-10,9,9,5,6,0,-6,23,11,6,2
9,0,13,-6,13,6,4,5,4,3,21,9,0,2
10,0,10,3,13,0,10,6,10,3,20,8,0,2
11,0,11,3,14,0,12,7,12,2,17,7,0,2
12,0,8,2,10,0,8,7,8,2,15,9,0,2
13,1,8,2,11,0,9,7,9,2,16,10,0,2
14,0,7,2,9,0,5,6,5,4,19,11,0,2
15,0,9,4,13,0,17,8,13,-4,21,13,4,2
16,0,10,-4,10,4,9,8,6,-3,24,3,3,2
17,0,11,-3,11,3,9,8,8,-1,16,7,1,2
18,0,13,-1,13,1,10,8,10,2,10,9,0,2
19,0,3,2,5,0,5,7,5,0,16,11,0,2
20,0,7,0,7,0,7,7,7,0,20,11,0,2
21,0,9,0,9,0,10,7,9,-1,22,11,1,2
22,0,11,-1,11,1,13,8,10,-3,22,9,3,2
23,0,11,-3,11,3,9,8,8,-1,20,8,1,2
24,0,11,-1,11,1,10,8,10,0,17,6,0,2
25,0,9,0,9,0,9,8,9,0,14,11,0,2
26,0,8,0,8,0,10,8,8,-2,17,11,2,2
27,0,6,-2,6,2,5,7,4,-1,22,10,1,2
28,0,11,-1,11,1,14,8,10,-4,21,9,4,2
29,0,11,-4,11,4,10,8,7,-3,19,9,3,2
30,0,9,-3,9,3,10,8,6,-4,18,5,4,2
31,1,9,-4,10,4,6,7,6,0,14,8,0,2
32,0,9,0,9,0,5,6,5,4,13,11,0,2
33,0,5,4,9,0,6,6,6,3,19,6,0,2
34,0,8,3,11,0,2,5,2,9,17,2,0,2
